date,OPC_KN_T_ist_Z3_K02,OPC_KN_T_ist_Z1_K02,OPC_KN_T_ist_Z2_K02,OPC_V_voronka_K02,OPC_V_shnek_K02,OT
2020-10-19 13:15:13,29.5,31.5,33.1,0.0,0.0,0.0
2020-10-19 13:15:44,29.4,31.4,33.0,0.0,0.0,0.0
2020-10-19 13:16:14,29.4,31.4,33.0,0.0,0.0,0.0
2020-10-19 13:16:44,29.4,31.3,32.9,0.0,0.0,0.0
2020-10-19 13:17:14,29.3,31.3,32.9,0.0,0.0,0.0
2020-10-19 13:17:44,29.3,31.3,32.9,0.0,0.0,0.0
2020-10-19 13:18:14,29.3,31.2,32.8,0.0,0.0,0.0
2020-10-19 13:18:44,29.2,31.2,32.8,0.0,0.0,0.0
2020-10-19 13:19:15,29.2,31.1,32.8,0.0,0.0,0.0
2020-10-19 13:19:45,29.2,31.1,32.7,0.0,0.0,0.0
2020-10-19 13:20:15,29.1,31.1,32.7,0.0,0.0,0.0
2020-10-19 13:20:45,29.1,31.0,32.7,0.0,0.0,0.0
2020-10-19 13:20:45,29.1,31.0,32.7,0.0,0.0,0.0
2020-10-19 13:21:15,29.1,31.0,32.6,0.0,0.0,0.0
2020-10-19 13:21:45,29.0,30.9,32.5,0.0,0.0,0.0
2020-10-19 13:22:16,28.9,30.9,32.5,0.0,0.0,0.0
2020-10-19 13:22:45,28.9,30.8,32.5,0.0,0.0,0.0
2020-10-19 13:23:16,28.9,30.8,32.5,0.0,0.0,0.0
2020-10-19 13:23:46,28.9,30.8,32.4,0.0,0.0,0.0
2020-10-19 13:24:16,28.8,30.7,32.4,0.0,0.0,0.0
2020-10-19 13:24:46,28.8,30.7,32.4,0.0,0.0,0.0
2020-10-19 13:25:16,28.8,30.7,32.3,0.0,0.0,0.0
2020-10-19 13:25:46,28.8,30.6,32.3,0.0,0.0,0.0
2020-10-19 13:26:16,28.7,30.6,32.3,0.0,0.0,0.0
2020-10-19 13:26:47,28.7,30.6,32.3,0.0,0.0,0.0
2020-10-19 13:27:17,28.7,30.5,32.2,0.0,0.0,0.0
2020-10-19 13:27:47,28.6,30.5,32.2,0.0,0.0,0.0
2020-10-19 13:28:17,28.6,30.4,32.2,0.0,0.0,0.0
2020-10-19 13:28:47,28.6,30.4,32.1,0.0,0.0,0.0
2020-10-19 13:29:17,28.6,30.4,32.1,0.0,0.0,0.0
2020-10-19 13:29:47,28.5,30.3,32.1,0.0,0.0,0.0
2020-10-19 13:30:18,28.5,30.3,32.1,0.0,0.0,0.0
2020-10-19 13:30:48,28.4,30.3,32.0,0.0,0.0,0.0
2020-10-19 13:31:18,28.4,30.3,32.0,0.0,0.0,0.0
2020-10-19 13:31:48,28.4,30.2,31.9,0.0,0.0,0.0
2020-10-19 13:32:18,28.4,30.2,31.9,0.0,0.0,0.0
2020-10-19 13:32:48,28.3,30.2,31.9,0.0,0.0,0.0
2020-10-19 13:33:18,28.3,30.1,31.9,0.0,0.0,0.0
2020-10-19 13:33:49,28.3,30.1,31.8,0.0,0.0,0.0
2020-10-19 13:34:19,28.3,30.1,31.8,0.0,0.0,0.0
2020-10-19 13:34:49,28.2,30.1,31.8,0.0,0.0,0.0
2020-10-19 13:35:19,28.2,30.0,31.8,0.0,0.0,0.0
2020-10-19 13:35:49,28.2,29.9,31.7,0.0,0.0,0.0
2020-10-19 13:36:19,28.2,29.9,31.7,0.0,0.0,0.0
2020-10-19 13:36:49,28.1,29.9,31.7,0.0,0.0,0.0
2020-10-19 13:37:20,28.1,29.9,31.7,0.0,0.0,0.0
2020-10-19 13:37:50,28.1,29.8,31.6,0.0,0.0,0.0
2020-10-19 13:38:20,28.1,29.8,31.6,0.0,0.0,0.0
2020-10-19 13:38:50,28.0,29.8,31.6,0.0,0.0,0.0
2020-10-19 13:39:20,28.0,29.8,31.6,0.0,0.0,0.0
2020-10-19 13:39:50,27.9,29.7,31.6,0.0,0.0,0.0
2020-10-19 13:40:20,27.9,29.7,31.5,0.0,0.0,0.0
2020-10-19 13:40:51,27.9,29.7,31.5,0.0,0.0,0.0
2020-10-19 13:41:21,27.9,29.6,31.4,0.0,0.0,0.0
2020-10-19 13:41:51,27.8,29.6,31.4,0.0,0.0,0.0
2020-10-19 13:42:21,27.8,29.6,31.4,0.0,0.0,0.0
2020-10-19 13:42:51,27.8,29.6,31.4,0.0,0.0,0.0
2020-10-19 13:43:21,27.8,29.5,31.3,0.0,0.0,0.0
2020-10-19 13:43:51,27.7,29.5,31.3,0.0,0.0,0.0
2020-10-19 13:44:21,27.7,29.4,31.3,0.0,0.0,0.0
2020-10-19 13:44:52,27.7,29.4,31.3,0.0,0.0,0.0
2020-10-19 13:45:22,27.7,29.4,31.2,0.0,0.0,0.0
2020-10-19 13:45:52,27.6,29.4,31.2,0.0,0.0,0.0
2020-10-19 13:46:22,27.6,29.3,31.2,0.0,0.0,0.0
2020-10-19 13:46:52,27.6,29.3,31.2,0.0,0.0,0.0
2020-10-19 13:47:22,27.6,29.3,31.1,0.0,0.0,0.0
2020-10-19 13:47:52,27.6,29.3,31.1,0.0,0.0,0.0
2020-10-19 13:48:23,27.5,29.2,31.1,0.0,0.0,0.0
2020-10-19 13:48:53,27.5,29.2,31.1,0.0,0.0,0.0
2020-10-19 13:49:23,27.4,29.2,31.1,0.0,0.0,0.0
2020-10-19 13:49:53,27.4,29.2,31.0,0.0,0.0,0.0
2020-10-19 13:49:53,27.4,29.2,31.0,0.0,0.0,0.0
2020-10-19 13:50:23,27.4,29.1,31.0,0.0,0.0,0.0
2020-10-19 13:50:53,27.4,29.1,30.9,0.0,0.0,0.0
2020-10-19 13:51:23,27.4,29.1,30.9,0.0,0.0,0.0
2020-10-19 13:51:54,27.3,29.1,30.9,0.0,0.0,0.0
2020-10-19 13:52:24,27.3,29.1,30.9,0.0,0.0,0.0
2020-10-19 13:52:54,27.3,29.0,30.8,0.0,0.0,0.0
2020-10-19 13:53:24,27.3,29.0,30.8,0.0,0.0,0.0
2020-10-19 13:53:54,27.2,28.9,30.8,0.0,0.0,0.0
2020-10-19 13:54:24,27.2,28.9,30.8,0.0,0.0,0.0
2020-10-19 13:54:24,27.2,28.9,30.8,0.0,0.0,0.0
2020-10-19 13:54:54,27.2,28.9,30.8,0.0,0.0,0.0
2020-10-19 13:55:25,27.2,28.9,30.7,0.0,0.0,0.0
2020-10-19 13:55:55,27.1,28.8,30.7,0.0,0.0,0.0
2020-10-19 13:56:25,27.1,28.8,30.7,0.0,0.0,0.0
2020-10-19 13:56:55,27.1,28.8,30.7,0.0,0.0,0.0
2020-10-19 13:57:25,27.1,28.8,30.7,0.0,0.0,0.0
2020-10-19 13:57:55,27.1,28.7,30.6,0.0,0.0,0.0
2020-10-19 13:58:26,27.0,28.7,30.6,0.0,0.0,0.0
2020-10-19 13:58:55,27.0,28.7,30.6,0.0,0.0,0.0
2020-10-19 13:59:26,27.0,28.7,30.6,0.0,0.0,0.0
2020-10-19 13:59:56,26.9,28.7,30.6,0.0,0.0,0.0
2020-10-19 14:00:26,26.9,28.6,30.5,0.0,0.0,0.0
2020-10-19 14:00:56,26.9,28.6,30.5,0.0,0.0,0.0
2020-10-19 14:01:26,26.9,28.6,30.5,0.0,0.0,0.0
2020-10-19 14:01:56,26.9,28.6,30.4,0.0,0.0,0.0
2020-10-19 14:02:26,26.8,28.6,30.4,0.0,0.0,0.0
2020-10-19 14:02:57,26.8,28.5,30.4,0.0,0.0,0.0
2020-10-19 14:03:27,26.8,28.5,30.4,0.0,0.0,0.0
2020-10-19 14:03:57,26.8,28.4,30.4,0.0,0.0,0.0
2020-10-19 14:04:27,26.8,28.4,30.3,0.0,0.0,0.0
2020-10-19 14:04:57,26.7,28.4,30.3,0.0,0.0,0.0
2020-10-19 14:05:28,26.7,28.4,30.3,0.0,0.0,0.0
2020-10-19 14:05:57,26.7,28.4,30.3,0.0,0.0,0.0
2020-10-19 14:06:28,26.7,28.3,30.2,0.0,0.0,0.0
2020-10-19 14:06:58,26.6,28.3,30.2,0.0,0.0,0.0
2020-10-19 14:07:28,26.6,28.3,30.2,0.0,0.0,0.0
2020-10-19 14:07:58,26.6,28.3,30.2,0.0,0.0,0.0
2020-10-19 14:08:28,26.6,28.2,30.2,0.0,0.0,0.0
2020-10-19 14:08:58,26.6,28.2,30.1,0.0,0.0,0.0
2020-10-19 14:09:28,26.5,28.2,30.1,0.0,0.0,0.0
2020-10-19 14:09:59,26.5,28.2,30.1,0.0,0.0,0.0
2020-10-19 14:10:29,26.5,28.2,30.1,0.0,0.0,0.0
2020-10-19 14:10:59,26.4,28.1,30.1,0.0,0.0,0.0
2020-10-19 14:11:29,26.4,28.1,30.1,0.0,0.0,0.0
2020-10-19 14:11:59,26.4,28.1,30.0,0.0,0.0,0.0
2020-10-19 14:12:30,26.4,28.1,30.0,0.0,0.0,0.0
2020-10-19 14:12:59,26.4,28.1,30.0,0.0,0.0,0.0
2020-10-19 14:13:30,26.3,28.0,29.9,0.0,0.0,0.0
2020-10-19 14:14:00,26.3,28.0,29.9,0.0,0.0,0.0
2020-10-19 14:14:30,26.3,28.0,29.9,0.0,0.0,0.0
2020-10-19 14:15:00,26.3,27.9,29.9,0.0,0.0,0.0
2020-10-19 14:15:30,26.3,27.9,29.9,0.0,0.0,0.0
2020-10-19 14:16:00,26.3,27.9,29.9,0.0,0.0,0.0
